schema_version,repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,agent_product_flag,sample_stratum,label,confidence,evidence_notes,annotator_id,annotation_round,adjudication_status,adjudicated_label,adjudication_notes
0.1,Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,5557,Python,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. ,azure|azure-sdk|hacktoberfest|python,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:1000+|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Azure/azure-sdk-tools,https://github.com/Azure/azure-sdk-tools,132,C#,Tools repository leveraged by the Azure SDK team.,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Azure/kimojio-rs,https://github.com/Azure/kimojio-rs,242,Rust,A thread-per-core Linux io_uring async runtime for Rust optimized for latency.,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1,true,stars:200-999|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Azure/oav,https://github.com/Azure/oav,105,TypeScript,Tools for validating OpenAPI (Swagger) files.,azure|live-validation|model-validation|openapi|openapi-validation|request-validation|response-validation|semantic-validation|spec-resolver|swagger|traffic-validation,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows; test/,tags=1; releases=1,true,stars:50-199|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,AzureAD/microsoft-authentication-library-common-for-objc,https://github.com/AzureAD/microsoft-authentication-library-common-for-objc,53,Objective-C,Common code used by both the Active Directory Authentication Library (ADAL) and the Microsoft Authentication Library (MSAL),,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,B-M-Capital-Research/honeclaw,https://github.com/B-M-Capital-Research/honeclaw,737,Rust,HoneClaw (Hone-Financial) is dedicated to being a professional investment assistant that truly understands you.,,"{""matched_paths"": [""docs/bugs/archive/opencode_prompt_issues.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,true,stars:200-999|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,BNETDocs/bnetdocs-web,https://github.com/BNETDocs/bnetdocs-web,35,JavaScript,"BNETDocs, the documentation and discussion website for Blizzard protocols",battle-net|battlenet|blizzard|bnet|bnetdocs|bot|composer|diablo|discussion|discussion-website|documentation|game-protocols|html|php|protocol|pvpgn|starcraft|warcraft,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; phpunit.xml; tests/,tags=1; releases=1,false,stars:10-49|artifact:CLAUDE.md|agent_flag:false,,,,,,,,
0.1,BUZZARDGTA/Session-Sniffer,https://github.com/BUZZARDGTA/Session-Sniffer,87,Python,A packet sniffer (also known as an IP sniffer/puller) specifically designed for Peer-To-Peer (P2P) video games on PC and consoles (PlayStation and Xbox).,console-sniffer|ip-puller|ip-sniffer|ippuller|ipsniffer|ipsniffing|p2p-puller|p2p-sniffer|packet-capture|packet-sniffer|packet-sniffing|packetsniffer|packetsniffing|pc|playstation|session-sniffer|sniffer|xbox,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,BintzGavin/helios,https://github.com/BintzGavin/helios,86,TypeScript,Programmatic video creation with web technologies you already know. CSS animations just work.,,"{""matched_paths"": ["".sys/plans/2026-05-29-CORE-AI-System-Prompt.md""], ""queries"": [""system-prompt.*""]}",.github/workflows; tests/,,true,stars:50-199|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Biont/shellm,https://github.com/Biont/shellm,31,Shell,A one-file Ollama CLI client written in bash,agent|ai|bash|llm|ollama|ollama-api|ollama-client,"{""matched_paths"": ["".aider.conf.yml""], ""queries"": ["".aider.conf.yml""]}",tests/,tags=1; releases=1,true,stars:10-49|artifact:.aider.conf.yml|agent_flag:true,,,,,,,,
0.1,Bitterbot-AI/bitterbot-desktop,https://github.com/Bitterbot-AI/bitterbot-desktop,2392,TypeScript,"A local-first AI agent with persistent memory, emotional intelligence, and a peer-to-peer skills economy.",a2a-protocol|agent-economy|agent-memory|ai-agent|chatbot|cognitive-architecture|decentralized-ai|desktop-app|dream-engine|local-first|multi-channel|open-source|p2p|personal-ai|skills-marketplace|typescript|x402,"{""matched_paths"": [""src/agents/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; test/,tags=1; releases=1,true,stars:1000+|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,BlackBeltTechnology/pi-agent-dashboard,https://github.com/BlackBeltTechnology/pi-agent-dashboard,168,TypeScript,"Real-time web dashboard for pi coding-agent sessions. Multi-session view, live chat mirroring, integrated terminal, diff viewer, pi-flows execution, and mobile-first remote control via mDNS or zrok tunnel. Coexists with pi's TUI — doesn't replace it.",,"{""matched_paths"": [""openspec/changes/archive/2026-03-27-auto-resume-on-prompt/tasks.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,BoweyLou/obsidian-mcp-server-enhanced,https://github.com/BoweyLou/obsidian-mcp-server-enhanced,30,TypeScript,"This is an enhanced version of the excellent cyanheads/obsidian-mcp-server with additional features specifically tailored for remote Claude.ai integration, advanced task querying, and security via Tailscale.",,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows,,true,stars:10-49|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,Brawl345/Image-Reverse-Search-WebExtension,https://github.com/Brawl345/Image-Reverse-Search-WebExtension,157,TypeScript,WebExtension: Adds an option to the context menu to search with an image on various services. Made with Svelte.,firefox|image-reverse|opera|reverse-search|svelte|webextensions,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.windsurfrules|agent_flag:true,,,,,,,,
0.1,BrowserOperator/browser-operator-core,https://github.com/BrowserOperator/browser-operator-core,488,TypeScript,"Browser Operator - The AI browser with built in Multi-Agent platform! Open source alternative to ChatGPT Atlas, Perplexity Comet, Dia and Microsoft CoPilot Edge Browser",agent-browser|agent-workflow|agentic-ai|agentic-browser|agentic-framework|agentic-workflow|agents|ai-browser|browser-operator|computer-use|langgraph|llamacpp|llm|mcp|mcp-client|ollama|open-operator|openai|operator,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; test/,tags=1; releases=1,true,stars:200-999|artifact:CLAUDE.md|agent_flag:true,,,,,,,,
0.1,BruinGrowly/Emergent-Code,https://github.com/BruinGrowly/Emergent-Code,12,Python,A revolutionary code generation system that grows software from semantic autopoietic specifications using the LJPW Framework.,code-generation|code-synthesis|emergent-systems|fractal-composition|ljpw-framework|python|semantic-analysis,"{""matched_paths"": [""STM/Gemini.md""], ""queries"": [""GEMINI.md""]}",tests/,,true,stars:10-49|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Bugb-Technologies/guardlink,https://github.com/Bugb-Technologies/guardlink,16,TypeScript,"AI-maintained security annotations for code. Continuous threat modeling, enforced in CI.",annotations|devsecops|mcp|security|threat-modeling,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:10-49|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,BuildWithHussain/hive,https://github.com/BuildWithHussain/hive,16,TypeScript,"Simple, feature rich project management software.",,"{""matched_paths"": [""prompts/prd.md""], ""queries"": [""prompts/""]}",.github/workflows,,true,stars:10-49|artifact:prompts/|agent_flag:true,,,,,,,,
0.1,CERTCC/Vultron,https://github.com/CERTCC/Vultron,20,Python,Vultron is a protocol for Coordinated Vulnerability Disclosure,activitypub|activitystreams-vocabulary|cvd|protocol|prototype|vulnerability|vulnerability-disclosure|vulnerability-disclosure-policies|vulnerability-disclosure-program|vulnerability-reports|vulnerability-response,"{""matched_paths"": [""prompts/BUGS_FROM_LOGS_prompt.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows; test/; specs/,tags=1; releases=1,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CSlawyer1985/case-type-guide,https://github.com/CSlawyer1985/case-type-guide,13,Python,类案办案要件指南智能辅助系统 - 基于AI的案件类型识别与要件式审判清单生成工具,ai-assisted-law|case-analysis|case-law|chinese-law|lawyer-tools|legal-ai|legal-reasoning|legal-research|legaltech|litigation,"{""matched_paths"": [""prompt.md""], ""queries"": [""*.prompt.md""]}",tests/,,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CallMarcus/dji-drone-metadata-embedder,https://github.com/CallMarcus/dji-drone-metadata-embedder,10,Python,"Python CLI for embedding DJI drone telemetry from SRT logs into MP4 videos. Batch processes folders, preserves subtitles, and exports flight data to JSON, GPX, or CSV.",dji|dji-drones|drone|exif-metadata|metadata|mp4|python|srt-files,"{""matched_paths"": [""docs/research/2026-04-19-gemini.md""], ""queries"": [""GEMINI.md""]}",.github/workflows; pytest.ini; tests/,tags=1; releases=1,true,stars:10-49|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Case211/remnawave-admin,https://github.com/Case211/remnawave-admin,224,Python,Admin Web + Bot for Remnawave Panel v.2.7.0+,python|remnawave|remnawave-bot|telegrambot,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,false,stars:200-999|artifact:CLAUDE.md|agent_flag:false,,,,,,,,
0.1,Castor6/tactus,https://github.com/Castor6/tactus,360,TypeScript,"The first browser AI Agent extension to support Agent Skills, enabling AI to perform complex tasks through an expandable skill system. 🌟 Star if you like it! | 首个支持 Agent Skills 的浏览器 AI Agent 扩展，让 AI 通过可扩展技能系统执行复杂任务 🌟 如果喜欢请点个 Star！",ai|ai-agent|browser-extension|chat|chatbot|llm|skills,"{""matched_paths"": ["".agents/skills/design-style/prompts/BoldTypography.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CavinHuang/comfyui-nodes-docs,https://github.com/CavinHuang/comfyui-nodes-docs,279,JavaScript,"comfyui节点文档插件,enjoy~~",comfyui|comfyui-nodes|comfyui-nodes-docs,"{""matched_paths"": [""docs/LMStudioPrompt.md"", ""docs/ScaleBatchPromptSchedule.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,true,stars:200-999|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Certora/AIComposer,https://github.com/Certora/AIComposer,27,Python,AI Composer from Certora Labs,,"{""matched_paths"": [""composer/templates/harness_generation_system_prompt.j2"", ""composer/templates/source_tools_system_prompt.j2""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:10-49|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,Checkmk/checkmk,https://github.com/Checkmk/checkmk,2285,Python,Checkmk - Best-in-class infrastructure & application monitoring,monitoring,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows; go.mod; Cargo.toml; tests/,tags=1; releases=0,true,stars:1000+|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,Chemaclass/agnostic-ai,https://github.com/Chemaclass/agnostic-ai,10,Go,"One source of truth for AI agents, skills, rules, and hooks. Transpile to every AI CLI you use.",agentic-ai|agnostic-ai|claude|codex|gemini,"{""matched_paths"": [""internal/adapters/aider/testdata/kitsink/.aider.conf.yml"", ""internal/adapters/aider/testdata/kitsink/.aiderignore""], ""queries"": ["".aider.conf.yml"", "".aiderignore""]}",.github/workflows; go.mod; tests/,tags=1; releases=1,true,stars:10-49|artifact:.aider.conf.yml|agent_flag:true,,,,,,,,
0.1,ChenZiHong-Gavin/weekly-vibe-coding,https://github.com/ChenZiHong-Gavin/weekly-vibe-coding,22,TypeScript,用提示词实现一百个idea,frontend|hci|skills|vibe-coding,"{""matched_paths"": [""prompts/marionette.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows,,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ClaudiuBogdan/hack-for-facts-eb-client,https://github.com/ClaudiuBogdan/hack-for-facts-eb-client,50,TypeScript,"Platformă de explorare a datelor financiare publice pentru cetățeni, jurnaliști, persoane publice și alte persoane interesate.",buget|money|romania,"{""matched_paths"": [""gpt-prompt/review-template.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,ClawStackStudios/GitLobster,https://github.com/ClawStackStudios/GitLobster,19,JavaScript,"🦞 The Capability Layer for Autonomous Agents. A decentralized registry for cryptographically-verified skills, enabling seamless peer-to-peer power sharing between agents.",,"{""matched_paths"": [""registry-server/GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows; specs/,tags=1; releases=1,true,stars:10-49|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Cloud-Solutions-International/antikythera,https://github.com/Cloud-Solutions-International/antikythera,16,Java,Automated test generation for spring apps,,"{""matched_paths"": [""gemini.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,ComeOnOliver/skillshub,https://github.com/ComeOnOliver/skillshub,52,Python,"🧠 The right skill, one API call. AI agent skills registry with token-efficient skill resolution. 5,000+ skills from 500+ top repos.",agent-skills|ai|ai-agents|developer-tools|drizzle|llm|nextjs|open-source|skill-registry|skill-resolver|typescript,"{""matched_paths"": [""skills/aiskillstore/marketplace/anthropics/agent-development/references/system-prompt-design.md"", ""skills/secondsky/claude-skills/elevenlabs-agents/assets/system-prompt-template.md""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,Comfy-Org/docs,https://github.com/Comfy-Org/docs,265,MDX,Documentation for ComfyUI,,"{""matched_paths"": [""ja/tutorials/partner-nodes/google/gemini.mdx""], ""queries"": [""GEMINI.md""]}",.github/workflows; specs/,,true,stars:200-999|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,Community-Access/accessibility-agents,https://github.com/Community-Access/accessibility-agents,312,JavaScript,"Accessibility review agents for Claude Code, GitHub Copilot, and Claude Desktop. Eleven specialists that enforce WCAG 2.2 AA compliance so AI coding tools stop generating inaccessible code.",a11y|accessibility|ai-agents|aria|assistive-technology|claude|claude-code|copilot|github-copilot|screen-reader|wcag|web-accessibility,"{""matched_paths"": [""docs/prompts/github/merge-pr.md"", ""docs/prompts/github/refine-issue.md"", ""docs/prompts/web/audit-web-page.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CommunityToolkit/Aspire,https://github.com/CommunityToolkit/Aspire,611,C#,A community project with additional components and extensions for Aspire,aspire|cloud|dotnet|golang|javascript|python|rust,"{""matched_paths"": ["".github/chatmodes/New Aspire Hosting integration.chatmode.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:200-999|artifact:.github/chatmodes|agent_flag:true,,,,,,,,
0.1,CompanyHelm/companyhelm,https://github.com/CompanyHelm/companyhelm,70,TypeScript,,,"{""matched_paths"": [""apps/api/src/prompts/system_prompt_template_context.ts""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=0,true,stars:50-199|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,Copenhagen0x/solana-security-standard,https://github.com/Copenhagen0x/solana-security-standard,31,JavaScript,"Solana's SOL-0XX security standard — bug-class rules distilled from $514M of real exploits, firing as you code in every AI tool, editor & CI.",anchor|anthropic|audit|bug-bounty|claude-code|rust|security|solana|static-analysis,"{""matched_paths"": [""integrations/aider/.aider.conf.yml"", ""integrations/cline/.clinerules""], ""queries"": ["".aider.conf.yml"", "".clinerules""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:.aider.conf.yml|agent_flag:true,,,,,,,,
0.1,CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,35295,TypeScript,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol",agent|agent-native|agentic-ai|agents|ai|ai-agent|ai-assistant|assistant|assistant-chat-bots|copilot|copilot-chat|generative-ui|js|llm|nextjs|open-source|react|reactjs|ts|typescript,"{""matched_paths"": [""packages/react-textarea/src/types/autosuggestions-config/subtypes/make-system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:1000+|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,CoreAgent-Project/CoreAgent,https://github.com/CoreAgent-Project/CoreAgent,28,Python,LLM Agent framework with Stateful Tools. ,,"{""matched_paths"": [""coreagent/default_system_prompt.txt""], ""queries"": [""system_prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,Correia-jpv/fucking-awesome-swift,https://github.com/Correia-jpv/fucking-awesome-swift,15,Ruby,A collaborative list of awesome Swift libraries and resources. Feel free to contribute! With repository stars⭐ and forks🍴,awesome|awesome-list|awesome-lists|awesome-swift|ios|linux|list|lists|swift|swift-extensions|swift-framework|swift-language|swift-library,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,,true,stars:10-49|artifact:copilot-instructions.md|agent_flag:true,,,,,,,,
0.1,CortexLM/cortex-code,https://github.com/CortexLM/cortex-code,156,Rust,An intelligent coding assistant focused on optimizing code for raw performance and system efficiency at scale.,,"{""matched_paths"": [""src/cortex-engine/src/prompt/system_prompt.rs""], ""queries"": [""system_prompt.*""]}",.github/workflows; Cargo.toml,tags=1; releases=1,true,stars:50-199|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,Cppys/OpenNovel,https://github.com/Cppys/OpenNovel,22,Python,基于claude sdk的自动化小说撰写Agent，支持对话，高质量的小说写作与发表,,"{""matched_paths"": [""config/prompts/story_architect.md""], ""queries"": [""*.prompt.md""]}",tests/,,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CreminiAI/skillpack,https://github.com/CreminiAI/skillpack,703,TypeScript,Pack and deploy local AI agents for your team in minutes,agent|agent-skills|agentic|agentic-ai|agentic-workflow|ai-skills,"{""matched_paths"": [""system-prompt.md""], ""queries"": [""system-prompt.*""]}",tests/,tags=1; releases=0,true,stars:200-999|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,CrispStrobe/CrispEmbed,https://github.com/CrispStrobe/CrispEmbed,23,C++,Lightweight text embedding inference via ggml in pure C++: XLM-R/Qwen3/Gemma/MPNet/etc,bert|embeddings|ggml|mpnet|xlm-roberta,"{""matched_paths"": [""handover-prompts/layout-detect-parity.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,CultivateLabs/raif,https://github.com/CultivateLabs/raif,297,Ruby,Ruby AI Framework,,"{""matched_paths"": [""lib/generators/raif/agent/templates/system_prompt.erb.tt""], ""queries"": [""system_prompt.*""]}",.github/workflows; spec/,tags=1; releases=0,true,stars:200-999|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,CumulusNetworks/docs,https://github.com/CumulusNetworks/docs,70,HTML,NVIDIA Ethernet Software Documentation Repo,,"{""matched_paths"": [""content/cumulus-netq-414/Installation-Management/Upgrade-NetQ/Upgrade-Agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,CyberShadow/CyDo,https://github.com/CyberShadow/CyDo,33,TypeScript,UI and orchestration for AI coding agents,,"{""matched_paths"": [""defs/prompts/enter_write_mode.md""], ""queries"": [""*.prompt.md""]}",tests/,,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,Cyfrin/Updraft,https://github.com/Cyfrin/Updraft,119,Python,,,"{""matched_paths"": [""courses/solidity/4-ai-prompting/5-formatting-a-question/+page.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,true,stars:50-199|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,DCS-BR-Tools/briefing-room-for-dcs,https://github.com/DCS-BR-Tools/briefing-room-for-dcs,296,Lua,An advanced mission generator for Eagle Dynamic's DCS World.,,"{""matched_paths"": ["".cursorrules"", "".windsurfrules""], ""queries"": ["".cursorrules"", "".windsurfrules""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.cursorrules|agent_flag:true,,,,,,,,
0.1,DamianB-BitFlipper/proton-drive-sync,https://github.com/DamianB-BitFlipper/proton-drive-sync,666,TypeScript,"Local folders, automatically synced to Proton Drive. (Unofficial Sync Client)",,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js,817,JavaScript,Datadog APM client for Node.js,apm|datadog|javascript|nodejs|opentracing|tracing,"{""matched_paths"": ["".aider.conf.yml""], ""queries"": ["".aider.conf.yml""]}",.gitlab-ci.yml,tags=1; releases=1,true,stars:200-999|artifact:.aider.conf.yml|agent_flag:true,,,,,,,,
0.1,DataDog/stratus-red-team,https://github.com/DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud",adversary-emulation|aws|aws-security|azure-security|cloud-native-security|cloud-security|detection-engineering|gcp-security|kubernetes-security|mitre-attack|purple-team|security|threat-detection,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:1000+|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,DaveDushi/kolshek,https://github.com/DaveDushi/kolshek,12,TypeScript,CLI tool for tracking finances from Israeli banks and credit cards (כל שקל),,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; tests/,tags=1; releases=1,false,stars:10-49|artifact:CLAUDE.md|agent_flag:false,,,,,,,,
0.1,DavidWells/stars,https://github.com/DavidWells/stars,24,JavaScript,Automatically indexed GitHub stars,,"{""matched_paths"": [""stars/Piebald-AI/claude-code-system-prompts.md""], ""queries"": [""system-prompt.*""]}",.github/workflows,,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,DeadmanAbir/AgentGenesis,https://github.com/DeadmanAbir/AgentGenesis,119,TypeScript,"Welcome to AgentGenesis, your source for customizable Gen AI code snippets that you can easily copy and paste into your applications.",ai|contentlayer|generative-ai|hacktoberfest|hacktoberfest-accepted|langchain-js|nextjs,"{""matched_paths"": [""src/content/components/chatGemini.mdx""], ""queries"": [""GEMINI.md""]}",.github/workflows,,true,stars:50-199|artifact:GEMINI.md|agent_flag:true,,,,,,,,
0.1,DevExpress/devextreme-documentation,https://github.com/DevExpress/devextreme-documentation,54,JavaScript,DevExtreme documentation,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows,,true,stars:50-199|artifact:.github/copilot-instructions.md|agent_flag:true,,,,,,,,
