repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
IstiN/yoloit,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
OtterMind/youclaw,CONVENTIONAL_SOFTWARE,high,Openclaw AI personal assistant for end users,claude_r2,1
Laer-Smart/2anki.net,CONVENTIONAL_SOFTWARE,high,Anki flashcard server for end users,claude_r2,1
Kong/developer.konghq.com,EXCLUDE,high,developer.konghq.com website source,claude_r2,1
Cppys/OpenNovel,CONVENTIONAL_SOFTWARE,high,Claude SDK novel writing agent for end users,claude_r2,1
Hacksore/cursed-repo,CONVENTIONAL_SOFTWARE,low,Average JavaScript repo insufficient evidence,claude_r2,1
Copenhagen0x/solana-security-standard,AI_PRODUCT,high,Solana security standard firing in AI tools for AI security devs,claude_r2,1
KubeRocketCI/kuberocketai,AI_PRODUCT,high,Declarative agentic framework for AI-driven software development,claude_r2,1
Azure-Samples/multimodal-rag-code-execution,AI_PRODUCT,medium,Multimodal RAG with code execution for AI developers,claude_r2,1
ArisGuimera/MobiAI-Core,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Agoric/agoric-sdk,CONVENTIONAL_SOFTWARE,high,Agoric smart contract platform monorepo for developers,claude_r2,1
JetBrains-Research/lca-baselines,AI_PRODUCT,high,Baselines for Long Code Arena benchmarks for AI evaluators,claude_r2,1
PaulDuvall/vibecoding,AI_PRODUCT,medium,Windsurf Vibe Coding workflow automation for AI devs,claude_r2,1
AgentOps-AI/agentops,AI_PRODUCT,high,AgentOps Python SDK for AI agent monitoring and cost tracking,claude_r2,1
NewKrok/three-particles-editor,CONVENTIONAL_SOFTWARE,high,Particle system editor for three-particles for end users,claude_r2,1
MStanislavov/stratoseer,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
MushroomFleet/DJZ-Nodes,CONVENTIONAL_SOFTWARE,high,ComfyUI custom nodes for generative AI end users,claude_r2,1
GraflowAI/graflow,AI_PRODUCT,high,Composable Python framework for LLM agent workflows for AI devs,claude_r2,1
OpenStudy-dev/OpenStudy,AI_PRODUCT,medium,Study dashboard with MCP server for students using AI,claude_r2,1
Factory-AI/factory,AI_PRODUCT,medium,Factory agent-native software development for AI devs,claude_r2,1
Azure/azure-sdk-for-python,CONVENTIONAL_SOFTWARE,high,Azure SDK for Python for general developers,claude_r2,1
ExDragine/frontier,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
EliasOenal/multimon-ng,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
26d0/vrchat-ime-chat,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Azure/kimojio-rs,CONVENTIONAL_SOFTWARE,high,io_uring async runtime for Rust developers,claude_r2,1
AI45Lab/Code,AI_PRODUCT,medium,Agentic Agent Framework insufficient evidence,claude_r2,1
GoldenPotato137/PotatoVN,CONVENTIONAL_SOFTWARE,high,Visual Novel management software for end users,claude_r2,1
Anson-Trio/BaiShou-Next,CONVENTIONAL_SOFTWARE,low,用纯白誓约守护彼此一生 insufficient evidence,claude_r2,1
PracticalParticle/Bloxchain-Protocol,CONVENTIONAL_SOFTWARE,high,Enterprise smart contract security framework for blockchain devs,claude_r2,1
NikiforovAll/claude-code-rules,EXCLUDE,high,Handbook for Claude Code learning content,claude_r2,1
KyaniteLabs/mcp-video,AI_PRODUCT,high,Video editing MCP server for AI agents for AI developers,claude_r2,1
NewLifeX/NewLife.Redis,CONVENTIONAL_SOFTWARE,high,High performance Redis client for developers,claude_r2,1
PaulJPhilp/effect-cli-tui,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
MatrixCoreX/RustClaw,AI_PRODUCT,low,RustClaw insufficient evidence,claude_r2,1
Josverl/micropython-stubs,CONVENTIONAL_SOFTWARE,high,MicroPython stubs for Python developers,claude_r2,1
Kohaku-Lab/KohakuTerrarium,AI_PRODUCT,high,KohakuTerrarium AI agent framework for AI builders,claude_r2,1
PolyArch/humanize,AI_PRODUCT,medium,AI agentic workflow from idea to realization for AI devs,claude_r2,1
MiguelTVMS/e-redes-smart-metering-plus-hass,CONVENTIONAL_SOFTWARE,high,Home Assistant integration for end users,claude_r2,1
QuoteVote/quotevote-next,CONVENTIONAL_SOFTWARE,high,Quote.Vote social platform for end users,claude_r2,1
PostHog/DeskHog,CONVENTIONAL_SOFTWARE,low,Developer toy insufficient evidence,claude_r2,1
NVIDIA/skills,AI_PRODUCT,high,NVIDIA AI agent skills for AI developers,claude_r2,1
JetBrains-Research/verified-cogen,AI_PRODUCT,low,PLAN verified code generation insufficient evidence,claude_r2,1
GoogleCloudPlatform/vertex-ai-creative-studio,CONVENTIONAL_SOFTWARE,high,GenMedia Creative Studio for generative media end users,claude_r2,1
Archeb/CyberGroupmate,AI_PRODUCT,medium,Code-Driven Social Agent for AI developers,claude_r2,1
LaLanMo/muxagent,AI_PRODUCT,medium,Run coding tasks through graph-based workflows for AI devs,claude_r2,1
InsightSoftwareConsortium/ITK,CONVENTIONAL_SOFTWARE,high,Insight Toolkit for medical imaging researchers,claude_r2,1
MuhammadUsmanGM/claude-code-best-practices,EXCLUDE,high,Best-practices wiki for Claude Code learning content,claude_r2,1
CrispStrobe/CrispEmbed,AI_PRODUCT,high,Lightweight text embedding inference via ggml for AI developers,claude_r2,1
Automattic/newspack-workspace,CONVENTIONAL_SOFTWARE,low,All the code fit to ship insufficient evidence,claude_r2,1
0niel/university-app,CONVENTIONAL_SOFTWARE,high,MIREA university mobile app for students,claude_r2,1
